,chemicalFormula Clean,index,Band gap values Clean,Reliability
147,Fe1Sc2,364.0,0.77,1.0
148,Fe1Si1,357.0,0.1,1.0
149,Fe1Si2,356.0,0.9,1.0
150,Fe1Te2,369.0,0.46,1.0
151,Fe2O3,353.0,2.34,1.0
152,Fe2Te3,368.0,0.6,1.0
153,Ga1As1,511.0,1.42,1.0
154,Ga1Bi1,566.0,0.1,1.0
155,Ga1N1,486.0,3.24,1.0
156,Ga1P1,492.5,2.5,1.0
157,Ga1S1,499.0,2.5,1.0
158,Ga1Sb1,546.0,0.725,1.0
159,Ga1Se1,528.5,2.05,1.0
160,Ga1Te1,552.0,1.42,1.0
161,Ga2O3,490.0,4.54,1.0
162,Ga2S3,500.0,3.59,1.0
163,Ga2Se3,530.0,2.05,1.0
164,Ga2Te3,553.5,1.225,1.0
165,Gd1As1,1167.0,0.63,1.0
166,Gd1B6,1163.0,3.6,1.0
167,Gd1N1,1164.0,1.54,1.0
168,Gd1Te1,1168.0,1.3,1.0
169,Gd2O3,1165.0,1.36,1.0
170,Ge,585.5,0.335,1.0
171,Ge1As1,596.5,1.05,1.0
172,Ge1As2,596.5,1.225,1.0
173,Ge1I2,613.0,1.5,1.0
174,Ge1O2,567.0,5.56,1.0
175,Ge1S1,578.0,1.58,1.0
176,Ge1S2,579.0,3.54,1.0
177,Ge1Se1,599.5,1.315,1.0
178,Ge1Se2,601.5,2.4325,1.0
179,Ge1Sn1,606.0,0.8,1.0
180,Ge1Te1,607.0,0.84,1.0
181,Ge1Te2,608.0,0.3,1.0
182,Hf1O2,1203.0,5.55,1.0
183,Hf1S2,1205.0,2.4299999999999997,1.0
184,Hf1S3,1205.0,2.8,1.0
185,Hf1Se2,1208.5,1.665,1.0
186,Hg1Br2,1270.0,3.59,1.0
187,Hg1I2,1277.0,2.13,1.0
188,Hg1O1,1250.0,2.48,1.0
189,Hg1S1,1254.5,1.2690000000000001,1.0
190,Hg1Se1,1265.0,0.24,1.0
191,Hg1Te1,1271.0,0.175,1.0
192,Hg2Br2,1269.0,2.6,1.0
193,Hg2Cl2,1261.0,3.5,1.0
194,Ho1N1,1182.0,1.79,1.0
195,Ho2O3,1184.0,2.84,1.0
196,I,1036.0,1.3,1.0
197,In1As1,916.0,0.356,1.0
198,In1N1,901.0,2.4,1.0
199,In1P1,906.0,1.351,1.0
200,In1S1,913.0,1.86,1.0
201,In1Sb1,934.0,0.17,1.0
202,In1Se1,923.5,1.24,1.0
203,In2O3,902.5,3.1845,1.0
204,In2S3,911.5,1.565,1.0
205,In2Se1,925.5,0.739,1.0
